driverid,surname,year,total_points,total_wins,podiums,avg_finish,dnfs
1,Hamilton,2020,347.0,11,14,1.875,0
1,Hamilton,2021,385.5,8,17,3.409090909090909,1
1,Hamilton,2022,233.0,0,9,6.045454545454546,3
1,Hamilton,2023,217.0,0,6,6.181818181818182,2
1,Hamilton,2024,207.0,2,5,6.958333333333333,2
4,Alonso,2021,81.0,0,1,9.909090909090908,11
4,Alonso,2022,81.0,0,0,10.863636363636363,10
4,Alonso,2023,198.0,0,8,6.636363636363637,2
4,Alonso,2024,70.0,0,0,10.166666666666666,8
8,Räikkönen,2020,4.0,0,0,13.058823529411764,11
8,Räikkönen,2021,10.0,0,0,13.2,15
9,Kubica,2021,0.0,0,0,14.5,1
20,Vettel,2020,33.0,0,1,11.529411764705882,8
20,Vettel,2021,43.0,0,1,12.045454545454545,16
20,Vettel,2022,37.0,0,0,11.45,7
154,Grosjean,2020,2.0,0,0,15.333333333333334,9
807,Hülkenberg,2020,10.0,0,0,11.666666666666666,1
807,Hülkenberg,2022,0.0,0,0,14.5,0
807,Hülkenberg,2023,6.0,0,0,14.545454545454545,12
807,Hülkenberg,2024,36.0,0,0,11.625,11
815,Pérez,2020,125.0,1,2,7.4,5
815,Pérez,2021,190.0,1,5,7.545454545454546,5
815,Pérez,2022,291.0,2,11,5.409090909090909,3
815,Pérez,2023,260.0,2,9,5.863636363636363,3
815,Pérez,2024,138.0,0,4,9.625,8
817,Ricciardo,2020,119.0,0,2,7.470588235294118,5
817,Ricciardo,2021,114.0,1,1,8.590909090909092,9
817,Ricciardo,2022,34.0,0,0,12.5,8
817,Ricciardo,2023,6.0,0,0,12.714285714285714,3
817,Ricciardo,2024,7.0,0,0,13.38888888888889,12
822,Bottas,2020,223.0,2,11,5.176470588235294,2
822,Bottas,2021,219.0,1,11,7.409090909090909,5
822,Bottas,2022,47.0,0,0,12.090909090909092,11
822,Bottas,2023,10.0,0,0,13.954545454545455,10
822,Bottas,2024,0.0,0,0,15.833333333333334,19
825,Magnussen,2020,1.0,0,0,15.941176470588236,14
825,Magnussen,2022,21.0,0,0,14.136363636363637,13
825,Magnussen,2023,3.0,0,0,15.590909090909092,15
825,Magnussen,2024,14.0,0,0,13.363636363636363,10
