driverid,surname,raceid,year,avg_lap_time,std_lap_time,laps_completed
1,Hamilton,1,2009,0 days 00:01:37.563758620,0 days 00:00:16.066158257,58
1,Hamilton,2,2009,0 days 00:01:49.398548387,0 days 00:00:14.261509557,31
1,Hamilton,3,2009,0 days 00:02:07.416982142,0 days 00:00:19.488057566,56
1,Hamilton,4,2009,0 days 00:01:37.022421052,0 days 00:00:04.439437934,57
1,Hamilton,5,2009,0 days 00:01:29.849476923,0 days 00:00:13.800859999,65
1,Hamilton,6,2009,0 days 00:01:19.050415584,0 days 00:00:05.071578920,77
1,Hamilton,7,2009,0 days 00:01:30.781068965,0 days 00:00:03.860786993,58
1,Hamilton,8,2009,0 days 00:01:25.293593220,0 days 00:00:04.320792368,59
1,Hamilton,9,2009,0 days 00:01:39.783593220,0 days 00:00:10.251735017,59
1,Hamilton,10,2009,0 days 00:01:24.341085714,0 days 00:00:04.220407874,70
1,Hamilton,11,2009,0 days 00:01:40.941175438,0 days 00:00:03.663648874,57
1,Hamilton,13,2009,0 days 00:01:26.531192307,0 days 00:00:04.667730208,52
1,Hamilton,14,2009,0 days 00:01:54.202245901,0 days 00:00:14.986192969,61
1,Hamilton,15,2009,0 days 00:01:40.130471698,0 days 00:00:17.751852528,53
1,Hamilton,16,2009,0 days 00:01:18.338380281,0 days 00:00:10.643897463,71
1,Hamilton,17,2009,0 days 00:01:43.616500,0 days 00:00:06.159828419,20
1,Hamilton,18,2008,0 days 00:01:38.114068965,0 days 00:00:20.990356845,58
1,Hamilton,19,2008,0 days 00:01:38.662553571,0 days 00:00:06.238336593,56
1,Hamilton,20,2008,0 days 00:01:37.906857142,0 days 00:00:06.138277212,56
1,Hamilton,21,2008,0 days 00:01:29.443000,0 days 00:00:16.149584262,66
1,Hamilton,22,2008,0 days 00:01:29.883275862,0 days 00:00:09.177686636,58
1,Hamilton,23,2008,0 days 00:01:35.299236842,0 days 00:00:15.618970657,76
1,Hamilton,24,2008,0 days 00:01:25.784368421,0 days 00:00:21.798792701,19
1,Hamilton,25,2008,0 days 00:01:19.496657142,0 days 00:00:04.044453904,70
1,Hamilton,26,2008,0 days 00:01:39.157333333,0 days 00:00:07.258601526,60
1,Hamilton,27,2008,0 days 00:01:21.804089552,0 days 00:00:15.298818069,67
1,Hamilton,28,2008,0 days 00:01:23.858785714,0 days 00:00:06.266302792,70
1,Hamilton,29,2008,0 days 00:01:40.665789473,0 days 00:00:03.244490075,57
1,Hamilton,30,2008,0 days 00:01:53.407568181,0 days 00:00:12.667113867,44
1,Hamilton,31,2008,0 days 00:01:38.818981132,0 days 00:00:13.541528930,53
1,Hamilton,32,2008,0 days 00:01:55.446245901,0 days 00:00:20.971205039,61
1,Hamilton,33,2008,0 days 00:01:22.101373134,0 days 00:00:05.830655875,67
1,Hamilton,34,2008,0 days 00:01:38.525053571,0 days 00:00:04.672007625,56
1,Hamilton,35,2008,0 days 00:01:20.145661971,0 days 00:00:11.471970970,71
1,Hamilton,36,2007,0 days 00:01:28.747672413,0 days 00:00:04.088674470,58
1,Hamilton,37,2007,0 days 00:01:39.151553571,0 days 00:00:04.402594474,56
1,Hamilton,38,2007,0 days 00:01:38.418859649,0 days 00:00:12.092632867,57
1,Hamilton,39,2007,0 days 00:01:24.661846153,0 days 00:00:04.051535670,65
